Identifier,Features,,,,,,,,,,,,Labels,,,,,,,,,,,
"M = model
R = room
P = simulation points",solidAngle,obstructionValues LowerQuarter,obstructionValues SecondQuarter,obstructionValues ThirdQuarter,obstructionValues HigherQuarter,Projection AspectRatio,Frame ratio,solidAngleTilt,roomAvge SolidAngle,distanceWindowCenterToPt,angleOfPointPositionInReferenceToWindowNormal,windowHeadHeight,DF ,,,,,,,,,,,
MMRRRPPP,steradians,0 to 4,0 to 4,0 to 4,0 to 4,,0-1,degrees,steradians,meters,degrees,meters,%,,,,,,,,,,,
String (10 char.),Float  (1 decimal),vector 4 components,vector 4 components,vector 4 components,vector 4 components,,Float (2 decimals),Float (2 decimals),Float  (1 decimal),Float (2 decimals),Float (1 decimal),Float (2 decimals),Float (2 decimals),,,,,,,,,,,
27000000,0.044,0,0,4,4,0.25,0.78,12.00,0.17,7.13,48.43,4.02,0.39,,,,,,,,,,,
27000001,0.048,0,0,0,0,0.46,0.78,9.20,0.17,9.54,6.70,4.02,0.1,,,,,,,,,,,
27000002,0.048,0,0,4,4,0.25,0.78,12.80,0.17,6.64,49.33,4.02,0.36,,,,,,,,,,,
27000003,0.056,0,0,2,4,0.28,0.78,12.90,0.17,6.54,45.06,4.02,0.41,,,,,,,,,,,
27000004,0.056,0,0,0,0,0.46,0.78,9.80,0.17,8.83,6.54,4.02,0.08,,,,,,,,,,,
27000005,0.051,0,0,0,0,0.45,0.78,9.50,0.17,9.18,8.83,4.02,0.07,,,,,,,,,,,
27000006,0.047,0,0,0,0,0.45,0.78,9.20,0.17,9.54,10.95,4.02,0.11,,,,,,,,,,,
27000007,0.044,0,0,4,4,0.20,0.78,13.40,0.17,6.29,54.80,4.02,0.38,,,,,,,,,,,
27000008,0.053,0,0,4,4,0.24,0.78,13.60,0.17,6.15,50.37,4.02,0.43,,,,,,,,,,,
27000009,0.063,0,0,2,4,0.27,0.78,13.80,0.17,6.05,45.77,4.02,0.38,,,,,,,,,,,
27000010,0.072,0,0,0,4,0.31,0.78,13.90,0.17,5.99,41.05,4.02,0.41,,,,,,,,,,,
27000011,0.065,0,0,0,0,0.46,0.78,10.60,0.17,8.12,6.36,4.02,0.13,,,,,,,,,,,
27000012,0.059,0,0,0,0,0.46,0.78,10.20,0.17,8.47,8.84,4.02,0.12,,,,,,,,,,,
27000013,0.054,0,0,0,0,0.45,0.78,9.80,0.17,8.83,11.13,4.02,0.13,,,,,,,,,,,
27000014,0.049,0,0,0,0,0.44,0.78,9.50,0.17,9.21,13.23,4.02,0.12,,,,,,,,,,,
27000015,0.045,0,0,0,0,0.43,0.78,9.10,0.17,9.59,15.17,4.02,0.1,,,,,,,,,,,
27000016,0.041,0,0,0,0,0.43,0.78,8.80,0.17,9.99,16.95,4.02,0.12,,,,,,,,,,,
27000017,0.036,0,4,4,4,0.16,0.78,13.90,0.17,6.01,60.84,4.02,0.4,,,,,,,,,,,
27000018,0.047,0,2,4,4,0.19,0.78,14.30,0.17,5.82,56.35,4.02,0.39,,,,,,,,,,,
27000019,0.059,0,0,4,4,0.23,0.78,14.60,0.17,5.67,51.60,4.02,0.43,,,,,,,,,,,
27000020,0.071,0,0,3,4,0.27,0.78,14.80,0.17,5.56,46.62,4.02,0.46,,,,,,,,,,,
27000021,0.083,0,0,1,4,0.31,0.78,15.00,0.17,5.49,41.48,4.02,0.54,,,,,,,,,,,
27000022,0.093,0,0,0,3,0.34,0.78,15.00,0.17,5.47,36.25,4.02,0.5,,,,,,,,,,,
27000023,0.101,0,0,0,3,0.37,0.78,15.00,0.17,5.49,31.03,4.02,0.46,,,,,,,,,,,
27000024,0.077,0,0,0,0,0.47,0.78,11.50,0.17,7.42,6.14,4.02,0.12,,,,,,,,,,,
27000025,0.069,0,0,0,0,0.46,0.78,11.10,0.17,7.76,8.86,4.02,0.12,,,,,,,,,,,
27000026,0.063,0,0,0,0,0.45,0.78,10.60,0.17,8.13,11.35,4.02,0.11,,,,,,,,,,,
27000027,0.057,0,0,0,0,0.44,0.78,10.20,0.17,8.50,13.61,4.02,0.12,,,,,,,,,,,
27000028,0.052,0,0,0,0,0.43,0.78,9.80,0.17,8.89,15.69,4.02,0.1,,,,,,,,,,,
27000029,0.047,0,0,0,0,0.42,0.78,9.40,0.17,9.29,17.58,4.02,0.09,,,,,,,,,,,
27000030,0.024,2,2,4,4,0.10,0.78,14.40,0.17,5.80,67.40,4.02,0.37,,,,,,,,,,,
27000031,0.036,0,4,4,4,0.14,0.78,14.90,0.17,5.56,62.97,4.02,0.32,,,,,,,,,,,
27000032,0.05,0,4,4,4,0.18,0.78,15.30,0.17,5.35,58.18,4.02,0.46,,,,,,,,,,,
27000033,0.065,0,2,4,4,0.22,0.78,15.70,0.17,5.19,53.05,4.02,0.52,,,,,,,,,,,
27000034,0.081,0,0,3,4,0.27,0.78,16.00,0.17,5.07,47.62,4.02,0.51,,,,,,,,,,,
27000035,0.096,0,0,1,3,0.31,0.78,16.20,0.17,4.99,41.99,4.02,0.6,,,,,,,,,,,
27000036,0.109,0,0,1,3,0.35,0.78,16.20,0.17,4.97,36.24,4.02,0.49,,,,,,,,,,,
27000037,0.119,0,0,0,3,0.38,0.78,16.20,0.17,4.99,30.49,4.02,0.43,,,,,,,,,,,
27000038,0.125,0,0,0,2,0.41,0.78,16.00,0.17,5.07,24.87,4.02,0.42,,,,,,,,,,,
27000039,0.082,0,0,0,0,0.46,0.78,12.00,0.17,7.06,8.88,4.02,0.13,,,,,,,,,,,
27000040,0.074,0,0,0,0,0.45,0.78,11.50,0.17,7.42,11.60,4.02,0.16,,,,,,,,,,,
27000041,0.066,0,0,0,0,0.44,0.78,11.00,0.17,7.80,14.06,4.02,0.15,,,,,,,,,,,
27000042,0.06,0,0,0,0,0.43,0.78,10.50,0.17,8.19,16.29,4.02,0.12,,,,,,,,,,,
27000043,0.054,0,0,0,0,0.42,0.78,10.10,0.17,8.59,18.32,4.02,0.15,,,,,,,,,,,
27000044,0.021,0,0,4,4,0.08,0.78,15.30,0.17,5.38,70.14,4.02,0.35,,,,,,,,,,,
27000045,0.035,2,4,4,4,0.12,0.78,15.90,0.17,5.12,65.48,4.02,0.43,,,,,,,,,,,
27000046,0.052,0,4,4,4,0.16,0.78,16.50,0.17,4.89,60.36,4.02,0.51,,,,,,,,,,,
27000047,0.072,0,4,4,4,0.21,0.78,17.00,0.17,4.71,54.80,4.02,0.55,,,,,,,,,,,
27000048,0.092,0,3,4,4,0.26,0.78,17.40,0.17,4.58,48.85,4.02,0.54,,,,,,,,,,,
27000049,0.112,0,0,3,3,0.31,0.78,17.60,0.17,4.50,42.61,4.02,0.54,,,,,,,,,,,
27000050,0.129,0,0,2,3,0.35,0.78,17.60,0.17,4.47,36.23,4.02,0.71,,,,,,,,,,,
27000051,0.142,0,0,0,3,0.39,0.78,17.50,0.17,4.50,29.84,4.02,0.73,,,,,,,,,,,
27000052,0.149,0,0,0,2,0.42,0.78,17.30,0.17,4.58,23.62,4.02,0.67,,,,,,,,,,,
27000053,0.151,0,0,0,1,0.45,0.78,16.90,0.17,4.72,17.68,4.02,0.47,,,,,,,,,,,
27000054,0.099,0,0,0,0,0.46,0.78,13.20,0.17,6.35,8.91,4.02,0.15,,,,,,,,,,,
27000055,0.088,0,0,0,0,0.45,0.78,12.60,0.17,6.71,11.91,4.02,0.17,,,,,,,,,,,
27000056,0.078,0,0,0,0,0.44,0.78,12.00,0.17,7.09,14.60,4.02,0.16,,,,,,,,,,,
27000057,0.07,0,0,0,0,0.43,0.78,11.40,0.17,7.49,17.01,4.02,0.13,,,,,,,,,,,
27000058,0.062,1,0,0,0,0.42,0.78,10.90,0.17,7.90,19.18,4.02,0.1,,,,,,,,,,,
27000059,0,0,0,0,0,0.00,0.78,0.00,0.17,5.28,77.69,4.02,0.22,,,,,,,,,,,
27000060,0.015,0,1,4,4,0.05,0.78,16.30,0.17,4.97,73.35,4.02,0.24,,,,,,,,,,,
27000061,0.031,1,3,4,4,0.10,0.78,17.10,0.17,4.68,68.46,4.02,0.32,,,,,,,,,,,
27000062,0.053,0,4,4,4,0.14,0.78,17.80,0.17,4.44,62.99,4.02,0.48,,,,,,,,,,,
27000063,0.078,0,4,4,4,0.20,0.78,18.40,0.17,4.24,56.93,4.02,0.59,,,,,,,,,,,
27000064,0.105,0,3,3,2,0.25,0.78,18.90,0.17,4.09,50.36,4.02,0.82,,,,,,,,,,,
27000065,0.132,0,1,3,2,0.31,0.78,19.20,0.17,4.00,43.39,4.02,0.79,,,,,,,,,,,
27000066,0.155,0,0,4,3,0.36,0.78,19.30,0.17,3.97,36.21,4.02,0.89,,,,,,,,,,,
27000067,0.172,0,0,2,3,0.40,0.78,19.10,0.17,4.00,29.03,4.02,0.9,,,,,,,,,,,
27000068,0.18,0,0,0,2,0.44,0.78,18.80,0.17,4.09,22.08,4.02,0.65,,,,,,,,,,,
27000069,0.182,0,0,0,1,0.46,0.78,18.30,0.17,4.25,15.52,4.02,0.51,,,,,,,,,,,
27000070,0.176,0,0,0,1,0.48,0.78,17.60,0.17,4.45,9.49,4.02,0.42,,,,,,,,,,,
27000071,0.164,0,0,0,0,0.48,0.78,16.90,0.17,4.70,4.04,4.02,0.43,,,,,,,,,,,
27000072,0.121,0,0,0,0,0.47,0.78,14.60,0.17,5.64,8.94,4.02,0.23,,,,,,,,,,,
27000073,0.106,0,0,0,0,0.46,0.78,13.90,0.17,6.01,12.30,4.02,0.18,,,,,,,,,,,
27000074,0.093,0,0,0,0,0.44,0.78,13.10,0.17,6.39,15.26,4.02,0.15,,,,,,,,,,,
27000075,0.082,0,0,0,0,0.43,0.78,12.50,0.17,6.79,17.88,4.02,0.13,,,,,,,,,,,
27000076,0.072,0,0,0,0,0.42,0.78,11.80,0.17,7.20,20.21,4.02,0.14,,,,,,,,,,,
27000077,0.064,0,0,0,0,0.41,0.78,11.30,0.17,7.62,22.28,4.02,0.13,,,,,,,,,,,
27000078,0,0,0,0,0,0.00,0.78,0.00,0.17,4.92,81.53,4.02,0.19,,,,,,,,,,,
27000079,0.005,0,4,4,4,0.02,0.78,17.40,0.17,4.58,77.12,4.02,0.18,,,,,,,,,,,
27000080,0.024,0,4,4,0,0.06,0.78,18.30,0.17,4.27,72.03,4.02,0.3,,,,,,,,,,,
27000081,0.049,1,4,4,4,0.12,0.78,19.20,0.17,4.00,66.20,4.02,0.41,,,,,,,,,,,
27000082,0.082,0,4,4,4,0.18,0.78,20.00,0.17,3.77,59.60,4.02,0.58,,,,,,,,,,,
27000083,0.12,0,3,3,2,0.24,0.78,20.60,0.17,3.61,52.29,4.02,0.85,,,,,,,,,,,
27000084,0.158,0,1,3,2,0.31,0.78,21.00,0.17,3.50,44.40,4.02,1.07,,,,,,,,,,,
27000085,0.19,0,0,3,3,0.37,0.78,21.20,0.17,3.47,36.19,4.02,1.05,,,,,,,,,,,
27000086,0.212,0,0,3,3,0.42,0.78,21.00,0.17,3.51,27.99,4.02,1.03,,,,,,,,,,,
27000087,0.221,0,0,1,2,0.45,0.78,20.50,0.17,3.61,20.12,4.02,0.74,,,,,,,,,,,
27000088,0.22,0,0,0,1,0.48,0.78,19.90,0.17,3.78,12.83,4.02,0.73,,,,,,,,,,,
27000089,0.207,0,0,0,0,0.49,0.78,19.10,0.17,4.01,6.26,4.02,0.5,,,,,,,,,,,
27000090,0.189,0,0,0,0,0.49,0.78,18.20,0.17,4.28,0.46,4.02,0.47,,,,,,,,,,,
27000091,0.17,0,0,0,0,0.48,0.78,17.20,0.17,4.59,4.60,4.02,0.36,,,,,,,,,,,
27000092,0.15,0,0,0,0,0.48,0.78,16.30,0.17,4.93,8.99,4.02,0.36,,,,,,,,,,,
27000093,0.13,0,0,0,0,0.46,0.78,15.40,0.17,5.30,12.79,4.02,0.25,,,,,,,,,,,
27000094,0.113,0,0,0,0,0.44,0.78,14.50,0.17,5.69,16.08,4.02,0.22,,,,,,,,,,,
27000095,0.098,0,0,0,0,0.43,0.78,13.70,0.17,6.09,18.95,4.02,0.22,,,,,,,,,,,
27000096,0.085,0,0,0,0,0.42,0.78,12.90,0.17,6.51,21.45,4.02,0.18,,,,,,,,,,,
27000097,0.074,0,0,0,0,0.40,0.78,12.20,0.17,6.94,23.65,4.02,0.19,,,,,,,,,,,
27000098,0,0,0,0,0,0.00,0.78,0.00,0.17,4.21,81.56,4.02,0.22,,,,,,,,,,,
27000099,0.01,0,4,4,0,0.02,0.78,19.70,0.17,3.87,76.35,4.02,0.27,,,,,,,,,,,
27000100,0.04,0,4,4,0,0.08,0.78,20.80,0.17,3.57,70.19,4.02,0.43,,,,,,,,,,,
27000101,0.083,0,4,4,4,0.15,0.78,21.80,0.17,3.32,63.01,4.02,0.66,,,,,,,,,,,
27000102,0.135,0,3,3,2,0.23,0.78,22.70,0.17,3.13,54.80,4.02,1.05,,,,,,,,,,,
27000103,0.19,0,1,3,2,0.31,0.78,23.20,0.17,3.01,45.73,4.02,1.24,,,,,,,,,,,
27000104,0.236,0,0,3,2,0.38,0.78,23.40,0.17,2.97,36.16,4.02,1.5,,,,,,,,,,,
27000105,0.266,0,0,2,2,0.44,0.78,23.20,0.17,3.01,26.61,4.02,1.37,,,,,,,,,,,
27000106,0.276,0,0,1,1,0.48,0.78,22.60,0.17,3.14,17.56,4.02,0.91,,,,,,,,,,,
27000107,0.267,0,0,0,1,0.50,0.78,21.70,0.17,3.33,9.39,4.02,0.56,,,,,,,,,,,
27000108,0.244,0,0,0,0,0.50,0.78,20.60,0.17,3.58,2.25,4.02,0.49,,,,,,,,,,,
27000109,0.217,0,0,0,0,0.49,0.78,19.50,0.17,3.89,3.86,4.02,0.41,,,,,,,,,,,
27000110,0.191,0,0,0,0,0.48,0.78,18.30,0.17,4.23,9.04,4.02,0.38,,,,,,,,,,,
27000111,0.163,0,0,0,0,0.46,0.78,17.20,0.17,4.60,13.42,4.02,0.38,,,,,,,,,,,
27000112,0.139,0,0,0,0,0.45,0.78,16.10,0.17,4.99,17.13,4.02,0.27,,,,,,,,,,,
27000113,0.119,0,0,0,0,0.43,0.78,15.10,0.17,5.40,20.29,4.02,0.25,,,,,,,,,,,
27000114,0.101,0,0,0,0,0.41,0.78,14.20,0.17,5.82,23.00,4.02,0.25,,,,,,,,,,,
27000115,0.087,0,0,0,0,0.40,0.78,13.40,0.17,6.26,25.33,4.02,0.21,,,,,,,,,,,
27000116,0,0,0,0,0,0.00,0.78,0.00,0.17,3.51,81.60,4.02,0.26,,,,,,,,,,,
27000117,0.02,0,4,4,0,0.04,0.78,22.50,0.17,3.17,75.23,4.02,0.32,,,,,,,,,,,
27000118,0.073,1,4,4,0,0.12,0.78,23.80,0.17,2.88,67.47,4.02,0.52,,,,,,,,,,,
27000119,0.148,0,3,3,1,0.21,0.78,24.90,0.17,2.66,58.21,4.02,1.08,,,,,,,,,,,
27000120,0.231,0,1,3,1,0.31,0.78,25.70,0.17,2.52,47.58,4.02,1.95,,,,,,,,,,,
27000121,0.302,0,0,3,2,0.41,0.78,26.00,0.17,2.47,36.12,4.02,2.35,,,,,,,,,,,
27000122,0.342,0,0,2,2,0.47,0.78,25.70,0.17,2.52,24.68,4.02,1.81,,,,,,,,,,,
27000123,0.348,0,0,1,1,0.51,0.78,24.90,0.17,2.67,14.10,4.02,0.96,,,,,,,,,,,
27000124,0.321,0,0,0,0,0.52,0.78,23.70,0.17,2.89,4.90,4.02,0.56,,,,,,,,,,,
27000125,0.285,0,0,0,0,0.51,0.78,22.30,0.17,3.18,2.80,4.02,0.52,,,,,,,,,,,
27000126,0.248,0,1,0,0,0.49,0.78,20.90,0.17,3.52,9.12,4.02,0.45,,,,,,,,,,,
27000127,0.209,0,0,0,0,0.47,0.78,19.50,0.17,3.89,14.29,4.02,0.37,,,,,,,,,,,
27000128,0.174,0,0,0,0,0.45,0.78,18.10,0.17,4.29,18.53,4.02,0.37,,,,,,,,,,,
27000129,0.145,0,0,0,0,0.43,0.78,16.90,0.17,4.71,22.03,4.02,0.33,,,,,,,,,,,
27000130,0.122,0,0,0,0,0.41,0.78,15.80,0.17,5.14,24.95,4.02,0.28,,,,,,,,,,,
